Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Serving Size (Numeric),Calorie Density,Fat to Carb Ratio,Category_Encoded,PCA1,PCA2,Cluster
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,240,27.0,42,12.0,62,0.0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15,4.1,104.87804878048782,0.7714285714285715,0,4.066782412577692,-2.297804866111897,2
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,280,31.0,48,13.0,65,0.0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15,4.6,104.34782608695653,0.775,0,5.062887562929091,-2.030553756888633,2
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,290,33.0,50,14.0,71,0.0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20,5.7,89.47368421052632,0.8918918918918919,0,6.841325209943883,-1.8034099693306818,2
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,330,37.0,57,15.0,74,0.0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20,6.2,91.93548387096774,0.8604651162790697,0,7.838856514238245,-1.530293008579175,2
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,250,27.0,42,12.0,62,0.0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15,5.9,77.96610169491525,0.7714285714285715,0,4.23478693168202,-2.079764510201766,2
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,280,32.0,49,13.0,65,0.0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15,6.4,81.25,0.7804878048780488,0,5.287428367956531,-1.8564344885476918,2
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,180,20.0,31,8.0,41,0.0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15,5.0,82.0,0.47619047619047616,0,2.996662693179852,-2.194350470763737,2
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,220,24.0,37,9.0,45,0.0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15,5.5,85.45454545454545,0.5106382978723404,0,4.057577897827351,-1.989925193636443,2
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,290,32.0,49,16.0,78,1.0,280,93,1470,61,38,13,2,8,3,25,10,2,20,25,7.1,76.05633802816902,0.8205128205128205,0,8.1862474914045,-0.6349999019190553,2
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,190,21.0,32,9.0,44,0.0,250,84,1250,52,48,16,2,9,15,19,10,10,20,15,6.1,75.40983606557377,0.42857142857142855,0,5.110089215988239,-1.2835750696363124,2
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,140,15.0,24,7.0,34,0.0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10,6.3,63.492063492063494,0.3125,0,2.458774060123344,-1.6002023602153175,2
Breakfast,Sausage McGriddles,5 oz (141 g),420,200,22.0,34,8.0,40,0.0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10,5.0,84.0,0.4888888888888889,0,2.80687227348847,-1.720549276519771,2
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,280,31.0,48,12.0,61,0.0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15,7.1,77.46478873239437,0.6326530612244898,0,6.631547995342129,-0.8801310867670603,2
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,230,26.0,40,10.0,52,0.0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10,7.2,69.44444444444444,0.5531914893617021,0,4.1025703091970085,-1.1993399844230912,2
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,280,31.0,48,11.0,56,0.5,275,92,1480,62,57,19,3,11,7,30,20,15,20,20,6.9,89.85507246376811,0.5344827586206896,0,7.9479220359404,-0.5540267077598479,2
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,230,25.0,39,9.0,45,0.5,60,20,1480,62,55,18,3,12,8,30,10,15,20,15,7.1,80.28169014084507,0.44642857142857145,0,5.336337429135698,-0.9048351965219629,2
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,330,37.0,57,14.0,69,0.0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15,9.6,66.66666666666667,0.7254901960784313,0,6.3695699165742825,-1.252587579060748,2
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,370,41.0,63,14.0,72,0.0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15,10.1,68.31683168316832,0.7321428571428571,0,7.313706720817202,-1.1194674051182425,2
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990,410,46.0,70,16.0,78,0.0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30,14.9,66.44295302013423,0.4144144144144144,0,10.219208875346922,1.291052649802622,2
Breakfast,Hotcakes,5.3 oz (151 g),350,80,9.0,13,2.0,9,0.0,20,7,590,24,60,20,3,10,14,8,0,0,15,15,5.3,66.0377358490566,0.14754098360655737,0,0.5917354463045965,-1.4281720552533486,2
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),520,210,24.0,37,7.0,36,0.0,50,17,930,39,61,20,3,10,14,15,0,0,15,15,6.8,76.47058823529412,0.3870967741935484,0,3.488767303616064,-0.9861203590367257,2
